商家ID,商家名称,状态,月售,评分,距离,送达时间,配送费,起送价,人均,品类,打烊提示
-100,火锅串串（宁工店）,1,月售25,0,420m,39分钟,配送 ¥1.2,起送 ¥15,,其他饭类套餐,
-100,鲜骨道酱烧排骨饭（聚贤路店）,1,月售1000+,4.6,4.5km,26分钟,配送 ¥0.7,起送 ¥0,人均 ¥22,排骨米饭,
-100,宁工赵第一烧烤（宁工店）,1,月售1000+,4.9,420m,30分钟,免配送费,起送 ¥10,人均 ¥14,烧烤,
-100,周记私房菜(宁工商业街店),1,月售900+,4.9,689m,30分钟,配送 ¥0.1,起送 ¥15,人均 ¥14,其他地方菜,
-100,鲜炖东北酸菜排骨煲,1,月售9,4.1,1.8km,21分钟,免配送费,起送 ¥15,人均 ¥25,排骨米饭,
-100,西西里·意式餐厅欢乐送,1,月售300+,4.5,2.0km,47分钟,免配送费,起送 ¥15,人均 ¥19,轻食/沙拉/健康餐,
-100,酥小柳·香酥鸡柳饼（宁工商业街店）,1,月售55,0,652m,44分钟,免配送费,起送 ¥0,人均 ¥10,炸鸡及炸物类小吃,
-100,米村拌饭（港隆广场店）,1,月售1000+,4.7,4.4km,30分钟,免配送费,起送 ¥20,人均 ¥28,石锅拌饭/铁板饭/板烧饭,
-100,饭饭香(工程学院店),1,月售100+,0,420m,41分钟,免配送费,起送 ¥10,人均 ¥15,其他饭类套餐,
-100,天天小吃（工程学院店）,1,月售300+,0,174m,30分钟,免配送费,起送 ¥6,人均 ¥11,地方小吃,
-100,早阳肉包（华业街店）,1,月售500+,4.9,2.1km,21分钟,配送 ¥0.1,起送 ¥20,人均 ¥12,包子/生煎,
-100,张正发茶餐厅（宁波大学店）,1,月售1000+,4.5,3.2km,32分钟,免配送费,起送 ¥20,人均 ¥23,港菜/茶餐厅,
-100,面米人家(工程店),1,月售500+,4.8,420m,36分钟,配送 ¥1,起送 ¥18,人均 ¥17,烧烤,
-100,叫了只炸鸡（福明旗舰店）,1,月售900+,4.8,4.7km,32分钟,配送 ¥1.5,起送 ¥20,人均 ¥24,炸鸡及炸物类小吃,
-100,黑金叉烧·超级焖肉饭（龙湖天街店）,1,月售800+,4.4,5.5km,35分钟,配送 ¥3.2,起送 ¥15,人均 ¥22,粤菜,
-100,厚府·牛油拌饭(镇海大师店),1,月售500+,4.6,1.8km,24分钟,免配送费,起送 ¥0,人均 ¥22,其他饭类套餐,
-100,鱼你的故事（商业街一区店）,1,月售300+,4.9,467m,30分钟,免配送费,起送 ¥0,人均 ¥12,酸菜鱼/水煮鱼,
-100,钱小匠爆汁牛肉饭（宁大云创店）,1,月售500+,4.3,3.7km,31分钟,配送 ¥0.45,起送 ¥0,人均 ¥21,石锅拌饭/铁板饭/板烧饭,
-100,老宁波饭堂（华业街店）,1,月售2000+,4.5,2.1km,23分钟,免配送费,起送 ¥20,人均 ¥18,其他地方菜,
-100,塔斯汀·中国汉堡（港隆广场店）,1,月售2000+,4.7,4.4km,31分钟,配送 ¥1.5,起送 ¥20,人均 ¥25,汉堡,
-100,海底捞·拌饭(宁波万科广场店),1,月售900+,4.6,2.6km,27分钟,配送 ¥0.2,起送 ¥30,人均 ¥27,其他饭类套餐,
-100,这家炒饺子卖爆了,1,月售800+,4.5,1.8km,25分钟,免配送费,起送 ¥15,人均 ¥21,饺子,
-100,Morelia墨西哥餐吧,1,月售600+,4.7,4.9km,28分钟,配送 ¥0.1,起送 ¥0,人均 ¥28,墨西哥菜,
-100,小火慢炖排骨汤土鸡汤,1,月售300+,4.1,1.8km,24分钟,免配送费,起送 ¥15,人均 ¥27,排骨米饭,
-100,猪仔强把子肉肉酱米线(宁波云创店),1,月售3000+,4.8,3.7km,29分钟,配送 ¥0.1,起送 ¥0,人均 ¥22,其他饭类套餐,
-100,海底捞·下饭火锅菜（万科广场店）,1,月售1000+,4.8,2.6km,25分钟,免配送费,起送 ¥30,人均 ¥32,冒菜,
-100,一碗不摆烂的金牌盖码饭（宁工商业街店）,1,月售61,0,652m,33分钟,免配送费,起送 ¥0,人均 ¥9,黄焖鸡米饭,
-100,土家酱香饼,1,月售1000+,4.2,3.7km,24分钟,免配送费,起送 ¥18,人均 ¥16,包子/生煎,
-100,魔力碗·MagicBowl(宁大店),1,月售900+,4.7,3.8km,30分钟,免配送费,起送 ¥0,人均 ¥25,轻食/沙拉/健康餐,
-100,嵊州小吃(宁工商业街店),1,月售200+,0,652m,39分钟,免配送费,起送 ¥10,人均 ¥13,地方小吃,
-100,Mega burger汉堡研究所,1,月售13,0,3.5km,36分钟,配送 ¥1.45,起送 ¥20,人均 ¥39,汉堡,
-100,重庆美食（宁工店）,1,月售35,0,15m,31分钟,配送 ¥0.5,起送 ¥10,人均 ¥15,重庆小面,
-100,拌绝·土豆泥烤肉拌饭(开元广场店),1,月售500+,4.4,1.8km,25分钟,免配送费,起送 ¥0,人均 ¥20,烤肉拌饭,
-100,稻状元（宁波镇海1902万科广场店）,1,月售2000+,4.4,2.6km,34分钟,免配送费,起送 ¥20,人均 ¥22,其他饭类套餐,
-100,老饕餮‖大碗牛腩饭（鄞州店）,1,月售300+,3.7,4.7km,27分钟,配送 ¥2.1,起送 ¥15,人均 ¥26,其他饭类套餐,
-100,包笼世家·杭州小笼包·撒汤（庄市店）,1,月售1000+,4.4,1.8km,24分钟,免配送费,起送 ¥20,人均 ¥20,包子/生煎,
-100,市井江湖茄泥牛腩饭（龙湖天街店）,1,月售400+,4.4,5.5km,35分钟,配送 ¥3.2,起送 ¥15,人均 ¥21,其他饭类套餐,
