品类,计数项:品类
烧烤,267
炸鸡及炸物类小吃,149
其他饭类套餐,138
其他面馆,128
汉堡,119
地方小吃,98
小龙虾,94
海鲜,92
包子/生煎,89
卤味类小吃,86
川菜,84
本帮江浙菜,60
米粉/米线,57
麻辣烫/关东煮,56
其他地方菜,55
中式拉面,52
沙县小吃,51
意面披萨,50
饺子,46
北京菜,45
煎饼果子/卷饼/手抓饼,40
轻食/沙拉/健康餐,37
江西菜,34
盖浇饭,34
炒饭,32
其他粥店,28
猪脚饭,28
羊汤/牛肉汤,28
日本料理,28
黄焖鸡米饭,27
日式便当/日本寿司,27
馄饨,26
螺蛳粉,25
烧饼/馅饼,25
重庆小面,25
湘菜,23
农家菜/家常菜,22
烤鱼,21
炸串小吃,18
鸡公煲,18
东北菜,17
其他汤粉店,16
麻辣香锅,15
木桶饭,14
烤肉拌饭,13
石锅拌饭/铁板饭/板烧饭,13
川渝火锅,13
酸菜鱼/水煮鱼,12
冒菜,12
港菜/茶餐厅,11
排骨米饭,11
砂锅,11
粤菜,11
干锅,10
蛙类火锅,10
鲁菜,9
三明治,9
炸鸡,9
肉夹馍,9
麻辣烫,8
创意/概念菜,8
煲仔饭,8
韩国料理,8
肠粉,7
锅贴/煎饺,7
烘焙,7
蛋糕,7
面馆,7
铁板类小吃,7
蒸鸡/滋补鸡,7
花甲粉,6
凉皮/凉粉/擀面皮,6
火锅,5
水饺,5
炒货类小吃,5
豆浆/油条,5
其他西餐,5
泰国菜,5
炒面/炒饼,5
新疆菜,5
潮汕火锅,5
牛排,5
烤肉饭,5
紫菜包饭,5
日式拉面,4
咖喱饭,4
大盘鸡,4
徽菜,4
卤味,3
烩面,2
新加坡菜,2
披萨,2
炸酱面,2
台湾菜,2
轻食,2
焗饭,2
意大利菜,2
马来西亚菜,2
西北菜,2
牛奶,2
湖北菜,1
云贵火锅,1
鱼火锅,1
贵州菜,1
日料,1
胡辣汤,1
清真菜,1
铜锅涮肉,1
热干面,1
泡馍,1
港式火锅,1
羊肉馆,1
冷串类小吃,1
瓦罐,1
砂锅粥,1
西班牙菜,1
黄焖鸡,1
焖面,1
小火锅,1
闽菜,1
墨西哥菜,1
(空白),
总计,2802
